name,unit_size,unit_def,calories,protein,fat_total,fat_saturated,carbohydrate,sugars,dietary_fibre_g,sodium_mg,calcium_mg
Greek Yoghurt Farmers Union All Natural,100,g,122.61,4.5,9.4,6.1,5.2,5.2,0,57,162
Greek Yoghurt Farmers Union Vanilla,100,g,135.04,4,8.4,5.4,11,10.5,0,52,144
Greek Yoghurt Woolworths Natural,100,g,108.51,6,7.3,5,4.8,4.7,0,67,153
Wrap Mission Original Super Soft,1,wrap,208.65,5.8,5.8,2.9,32.3,2.1,1.8,587,0
Fettuccine Zafarelli,100,g,360.9,11.5,2,0.5,71,2.5,4,30,0
Risoni Barilla,100,g,363.29,11.5,2,0.5,72.2,3.5,3,5,0
Spaghetti San Remo,100,g,365.68,12.5,2,1,72,2.5,3,30,0
Cheese and Bacon Rolls Woolworths,1,roll,248.56,10.9,7.4,3.4,33.7,1,2,466,0
Bread Rolls Wholemeal Woolworths,1,roll,164.2,5.7,1.8,0.7,29.1,0.6,3.4,265,0
Bread Rolls Soft Round Woolworths,1,roll,179.02,5.7,1.5,0.6,34.6,0.7,1.6,259,0
Bread Rolls Jumbo Soft Woolworths,1,roll,230.16,7.3,1.9,0.7,44.5,0.9,2.1,333,0
Milk Lite Woolworths,100,mL,45.17,3.4,1.3,0.9,4.9,4.9,0,43,0
Strawberry Milk Carton Oak,100,mL,90.82,3.4,3.5,2.3,11.4,11.4,0,39,0
Strawberry Milk Bottle Oak,100,mL,88.43,3.1,3.4,2.2,11.2,11.2,0,36,0
Chicken Breast,100,g,104.69,22.3,1.6,0.5,0,0,0,41,0
Chicken Thigh,100,g,118.55,18.3,5,1.51,0,0,0,62,0
Beef Mince Lean,100,g,167.78,18.5,10,4.9,1,1,0,51,0
Beef Mince Extra Lean,100,g,131.21,20.4,5,2.2,1,1,0,60,0
Pork Mince,100,g,205.78,18,15,4.9,1,1,0,68,0
Pork Mince Lean,100,g,160.37,16.7,10,3.8,1,1,0,46,0
Chicken Schnitzel,1,schnitzel,296.37,18.2,16.2,2.2,18.4,3.3,2.4,478,0
Ricotta Light Woolworths,100,g,101.34,8.6,5.9,4.1,3.5,3.5,0,170,0
Ricotta Smooth Woolworths,100,g,142.45,8.8,10.6,7.4,3.2,3.2,0,199,0
Cheese Extra Tasty White Label,100,g,411.09,23.4,24.1,22.5,1,1,0,714,0
Cheese Tasty Woolworths,100,g,394.36,25.5,32.7,21.8,0.5,0.5,0,652,0
Honey Pure Capilano,15,g,50.91,0,0,0,12.5,12.4,0,2,0
Olive Oil,100,mL,799.71,0,91.5,13.9,0,0,0,0,0
Passata Pomodora La Molisana,100,g,22.71,1.3,0.1,0,3.6,3.6,0,160,0
Tomato Paste Leggo,1,tub,118.76,4.8,0.7,0.3,20.4,12.6,5.3,403,0
Peas Frozen Woolworths,100,g,59.03,4.8,1,1,6.4,2.7,5.2,5,0
Corn Canned Edgell,100,g,65.73,2.6,2.1,0.5,7.7,3.6,2.8,241,0
Corn Canned NoSalt Edgell,100,g,68.83,2.4,1.6,0.3,9.9,4.8,2.4,14,0
Beetroot Sliced Edgell,100,g,53.06,1.2,0.2,0.1,10.4,9.8,2.2,250,0
Tomatoes Diced Canned,100,g,23.18,1,1,1,3.5,2.6,1.9,10,0
Four Bean Mix Can Woolworths,100,g,100.38,6.6,1,0.1,13,0.1,6.7,145,0
Black Beans Canned Woolworths,100,g,104.68,6.9,1,0.1,14,0.1,6.6,145,0
Red Kidney Beans Canned Woolworths,100,g,95.6,7.1,1,1,12,1,6.6,145,0
Refried Beans Canned La Morena,100,g,198.85,6,12,2,14,0,6,513,0
Rice Risotto Sun Rice,100,g,356.11,6.8,1,1,79.1,1,1,5,0
Eggs 700g Carton,1,egg,74.09,6.3,5.1,1.7,0.7,0.1,0,70,0
Mozzarella Shredded Woolworths,100,g,262.91,25.7,14.1,9.9,8.3,1,0,446,0
Parmesan Shaved Woolworths,100,g,370.46,32,27.1,18.8,0.5,0.5,0,1010,0
Bacon Short Cut,100,g,151.77,16.3,9.2,3.4,1,1,0,1000,0
Enchilada Sauce Old El Paso,100,g,41.35,0.8,0.3,0.1,8.2,5.2,1.1,676,0
Chipotle Sauce La Costena,100,g,33.22,1,0.6,0.1,5.8,2.4,0,1103,0
Spinach,70,g,16.25,2.8,1,1,1,1,2.5,90,0
Bread Crumbs Woolworths,100,g,315.49,10,2.3,1,60.8,2.1,4.2,727,0
Rigatoni San Remo,100,g,365.68,12.5,2,1,72,2.5,3,30,0
Rigatoni Barilla,100,g,363.29,12.5,2,0.5,71.2,3.5,3,5,0
Lemon Juice Woolworths,10,mL,2.39,0.1,0.1,0.1,0,0.2,0,1,0
Onion Brown,100,g,29,1.6,0.1,0,4.3,4.3,2.3,10,0
Mushrooms White Cup,100,g,25,3.3,0.3,0,0.3,0.3,1.5,8,0
Capsicum Red,100,g,26,0.99,0.3,0.1,6.03,4.2,2,2,0
Worcestershire Sauce,10,mL,11.95,0.1,0.1,0.1,2.8,1.9,0,66,0
Mandarin Medium,1,unit,47,1,0,0,12,9,2,0,0
Pear Medium,1,unit,96,0.63,0.2,0.01,25.66,16.27,5.1,2,0
Banana Medium,1,unit,105,1.29,0.39,0.13,26.95,14.43,3.1,1,0
